institution_id,account_id,transaction_id,amount,date,pending,merchant_name,name,category,transaction_type,payment_channel,pending_transaction_id
ins_109512,Wjvndjx55pfLel7mqdKdI1jqAkoKkEs6QADdw,k93BG9lqqpfKb54oweleU4oaMnazb7cLlvo8w,89.4,12/10/2025,FALSE,FUN,SparkFun,,place,in store,
ins_109512,AA8XeAPRR4IdgLbMXaQaHyPpwvjQvBF9xKdbo,3j45qjRppLfxZl9qP868SENaRWaxdouZDxE87,-4.22,11/10/2025,FALSE,,INTRST PYMNT,,special,other,
ins_109512,nladKlrzzbtkBNE7RbrbspvnjxRPxmtAMpnaZ,agvDMgZ55PCLaBkgZ5R5IWw3gL3GbvUZBMDed,500,01/10/2025,FALSE,United Airlines,United Airlines,,special,in store,
ins_109512,Wjvndjx55pfLel7mqdKdI1jqAkoKkEs6QADdw,lvx3lvkKKJuv5LnVQ9k9I1Kd7QdjrBtpVxRrn,6.33,29/09/2025,FALSE,Uber,Uber 072515 SF**POOL**,,special,online,
ins_109512,nladKlrzzbtkBNE7RbrbspvnjxRPxmtAMpnaZ,47NmK7RooptPJBgKk8y8SzL4oj4rn8iJQPLka,500,26/09/2025,FALSE,,Tectra Inc,,place,in store,
ins_109512,nladKlrzzbtkBNE7RbrbspvnjxRPxmtAMpnaZ,jyBzAyWllkSq3j6nkbRbUWRk1dkg3zU6VeawB,2078.5,25/09/2025,FALSE,,AUTOMATIC PAYMENT - THANK,,special,online,
ins_109512,nladKlrzzbtkBNE7RbrbspvnjxRPxmtAMpnaZ,P3vVq3l55jFgrBAmZnLnTPQxMzxmVWCoPRAJg,500,25/09/2025,FALSE,KFC,KFC,,place,in store,
ins_109512,nladKlrzzbtkBNE7RbrbspvnjxRPxmtAMpnaZ,NzvXGzE55MCpgv3JMo8os4RGWrGN6Lcy4wQxE,500,25/09/2025,FALSE,,Madison Bicycle Shop,,place,in store,
ins_109512,AA8XeAPRR4IdgLbMXaQaHyPpwvjQvBF9xKdbo,x41MP4j77RCeQ9g7lmBmhDr5vl5BQEf63beAd,25,16/09/2025,FALSE,,CREDIT CARD 3333 PAYMENT *//,,special,other,
ins_109512,Wjvndjx55pfLel7mqdKdI1jqAkoKkEs6QADdw,qrPkBr3xxqfdqLG78N3NHBwML8MZqjugz3RVQ,5.4,16/09/2025,FALSE,Uber,Uber 063015 SF**POOL**,,special,online,
