transaction_id,account_id,category_id,date,merchant_name,description,amount,currency_code,payment_channel,pending
69634767c4e14ddbb32e1893fea63046,db6f3eab8d36401ab29fe42bdf3280ef,none,2023-10-01,Transaction 2,none,-50.0,CZK,online,False
b0df6502d5e14085a8c8344fde839ac2,db6f3eab8d36401ab29fe42bdf3280ef,none,2023-10-01,Transaction 1,none,100.0,CZK,online,False
cf4bc855b27244258c1b18c98aa981ca,db6f3eab8d36401ab29fe42bdf3280ef,none,2023-10-02,Transaction 3,none,3000.0,CZK,online,False
8aafd552110147ed9e406689a5110a79,4bb60c8682f543e8939a659d14a20124,none,2024-01-01,Amazon Salary,none,5000.0,EUR,online,False
751758b85f084458a100686b3cbc2385,33081974045743388a4274e657c69176,none,2024-01-01,Uber,none,-5.0,EUR,online,False
35632a6aa65042309e782334b82a0b44,33081974045743388a4274e657c69176,none,2024-01-08,Uber,none,-5.0,EUR,online,False
933456ded2e84c9d92dc2110d08e21c6,33081974045743388a4274e657c69176,none,2024-01-15,Uber,none,-5.0,EUR,online,False
f4cf57cba5fb4ffaaff6f1eedd8171eb,33081974045743388a4274e657c69176,none,2024-01-22,Uber,none,-5.0,EUR,online,False
c7b7551ff706461f86fa3f98c5f73b82,33081974045743388a4274e657c69176,none,2024-01-29,Uber,none,-5.0,EUR,online,False
18bab73578e842e9b5a9da56bdc0bc87,4bb60c8682f543e8939a659d14a20124,none,2024-01-29,Dodgecoin,none,5000.0,EUR,online,False
29616d1026454548a55f380fe6be2c1f,33081974045743388a4274e657c69176,none,2024-01-30,Uber,none,33.0,EUR,online,False
b660dd43ce0b411ab914d846b049048f,4bb60c8682f543e8939a659d14a20124,none,2024-02-01,Amazon Salary,none,5000.0,EUR,online,False
cee44a07251c46089106e112f38f3494,33081974045743388a4274e657c69176,none,2024-02-05,Uber,none,-5.0,EUR,online,False
0d0d4b50709643269320e70d80899c99,33081974045743388a4274e657c69176,none,2024-02-06,Youtube,none,20.0,EUR,online,False
a2639c7ca07443fdb6dc4ec0a1560596,33081974045743388a4274e657c69176,none,2024-02-12,Uber,none,-5.0,EUR,online,False
d7655d3579474be4af93e10309ec88be,33081974045743388a4274e657c69176,none,2024-02-19,Uber,none,-5.0,EUR,online,False
4f6ce6f1ecc74b6c86e169d6c0a870ab,4bb60c8682f543e8939a659d14a20124,none,2024-02-25,Cardano,none,250.0,EUR,online,False
eaa3b90bacd34b399648d6a9d132b1db,33081974045743388a4274e657c69176,none,2024-02-26,Uber,none,-5.0,EUR,online,False
80319b600a864f798529da228dc41209,33081974045743388a4274e657c69176,none,2024-02-27,Zara,none,100.0,EUR,online,False
71280a9adbb34ed49ef4084c84efb5d5,4bb60c8682f543e8939a659d14a20124,none,2024-03-01,Bitcoin,none,1000.0,EUR,online,False
387e6bd131b14078bda49bf94bc4a372,4bb60c8682f543e8939a659d14a20124,none,2024-03-01,Amazon Salary,none,5000.0,EUR,online,False
1a244d4a4d8849bb9c780ebd10a4f556,33081974045743388a4274e657c69176,none,2024-03-01,Netflix,none,25.0,EUR,online,False
df24b727ea3141c7b6a31841dc837a0d,33081974045743388a4274e657c69176,none,2024-03-04,Uber,none,-5.0,EUR,online,False
466e909c65394c3987bc6d9fd0394bdc,33081974045743388a4274e657c69176,none,2024-03-10,Amazon,none,35.0,EUR,online,False
7aed8183770b43c2b0811a1eac407ad8,33081974045743388a4274e657c69176,none,2024-03-11,Uber,none,-5.0,EUR,online,False
