id,accountId,date,description,amount,currency,status,type,providerTransactionId
0a9436f27df340aaa546b9a5ffe73295,ff109f0c99a146e9bb9e30ccfac01582,2025-11-01,Kaffabar,-17.990000000000002,EUR,PENDING,DEFAULT,1001
4548e6f7a78d4709ac35b90cb6b751a5,ff109f0c99a146e9bb9e30ccfac01582,2025-11-01,Versement D'intérêts,3.72,EUR,BOOKED,DEFAULT,1002
15635252abb042d98e922d1513771908,ff109f0c99a146e9bb9e30ccfac01582,2025-10-30,Hof Van Cleve,-8.68,EUR,BOOKED,DEFAULT,1003
b08f07d50acb42df8b11470df28fdcdb,ff109f0c99a146e9bb9e30ccfac01582,2025-10-30,Starbucks,-2.49,EUR,BOOKED,DEFAULT,1004
95a37cd9e97b4efc91472170616a4fe7,ff109f0c99a146e9bb9e30ccfac01582,2025-10-28,Mcdonalds,-5.69,EUR,BOOKED,DEFAULT,1006
c5b16652907949399a8cc0708c25ed03,ff109f0c99a146e9bb9e30ccfac01582,2025-10-28,Orange Belgium,-23.990000000000002,EUR,BOOKED,DEFAULT,1005
a590b1f8ae8c4cdba3e2029cb4ea2028,ff109f0c99a146e9bb9e30ccfac01582,2025-10-27,Carrefour,-29.990000000000002,EUR,BOOKED,DEFAULT,1008
e16cb9fe5fc14003911311ac516467ac,ff109f0c99a146e9bb9e30ccfac01582,2025-10-27,Sncb,-27.900000000000002,EUR,BOOKED,DEFAULT,1009
f85b034d1f98463f8b284d865f6be74f,ff109f0c99a146e9bb9e30ccfac01582,2025-10-27,Esso,-40.0,EUR,BOOKED,DEFAULT,1007
d867e11af39b4ca984bc1c05006ee22a,ff109f0c99a146e9bb9e30ccfac01582,2025-10-26,Luminus,-34.0,EUR,BOOKED,DEFAULT,1011
e1a5f565817a4af98f4c4e273e8a4424,ff109f0c99a146e9bb9e30ccfac01582,2025-10-26,Décathlon,-97.71000000000001,EUR,BOOKED,DEFAULT,1010
669d77e5fac0480995a1f5d5244e6042,ff109f0c99a146e9bb9e30ccfac01582,2025-10-25,Galleria Inno,-9.790000000000001,EUR,BOOKED,DEFAULT,1012
d5bfcf48c8c947ab820790c8008b9e79,ff109f0c99a146e9bb9e30ccfac01582,2025-10-24,Neuhaus,-3.79,EUR,BOOKED,DEFAULT,1013
188556ae69a942d18efcdb26fffbc101,ff109f0c99a146e9bb9e30ccfac01582,2025-10-23,H&M,-23.990000000000002,EUR,BOOKED,DEFAULT,1014
8522b509bb354ab082af0dbdda13ecc1,ff109f0c99a146e9bb9e30ccfac01582,2025-10-23,Starbucks,-2.49,EUR,BOOKED,DEFAULT,1015
10ef504009e54798ae82ea1d2ac6528c,ff109f0c99a146e9bb9e30ccfac01582,2025-10-22,Le Petit Boudoir,-53.660000000000004,EUR,BOOKED,DEFAULT,1016
193476069a54489282e3cb7101db592c,ff109f0c99a146e9bb9e30ccfac01582,2025-10-20,Veepee,-19.67,EUR,BOOKED,DEFAULT,1019
3a1f6d49a92640f4a7411e9146084dfd,ff109f0c99a146e9bb9e30ccfac01582,2025-10-20,Sncb,-27.900000000000002,EUR,BOOKED,DEFAULT,1018
